Magma V2.29-6     Fri May 29 2026 13:45:51 on Chatchawans-Laptop-2 [Seed = 
1596719953]
Type ? for help.  Type <Ctrl>-D to quit.

Loading file "supplementary/code/verify_theorem_magma.m"
# Exact Magma verification for p<q, p,q == 5 mod 8, pq <= 30000
# Magma version: V2.29-6 in the recorded run
# Proof settings: Magma defaults; this script sets no GRH or conditional class-group flag
# Columns: p,q,D,leg,q4pq,q4qp,h,hplus,v2hplus,epsnorm,isPrincipalP,isPrincipalQ,wideInv,narrowInv,narrowTwoInv
5,13,65,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,29,145,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,37,185,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,53,265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,61,305,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,101,505,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,109,545,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,149,745,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,157,785,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,173,865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,181,905,1,1,1,4,8,3,1,1,1,"[ 4 ]","[ 8 ]","[ 8 ]"
5,197,985,-1,0,0,6,6,1,-1,0,0,"[ 6 ]","[ 6 ]","[ 2 ]"
5,229,1145,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,269,1345,1,1,-1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
5,277,1385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,293,1465,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,317,1585,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,349,1745,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,373,1865,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,389,1945,1,1,-1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,397,1985,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,421,2105,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
5,461,2305,1,1,1,16,16,4,-1,0,0,"[ 16 ]","[ 16 ]","[ 16 ]"
5,509,2545,1,-1,-1,4,4,2,-1,0,0,"[ 4 ]","[ 4 ]","[ 4 ]"
5,541,2705,1,1,1,8,8,3,-1,0,0,"[ 8 ]","[ 8 ]","[ 8 ]"
5,557,2785,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,613,3065,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,653,3265,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,661,3305,1,-1,1,6,12,2,1,1,1,"[ 6 ]","[ 12 ]","[ 4 ]"
5,677,3385,-1,0,0,2,2,1,-1,0,0,"[ 2 ]","[ 2 ]","[ 2 ]"
5,701,3505,1,-1,1,2,4,2,1,1,1,"[ 2 ]","[ 4 ]","[ 4 ]"
